Accuracy,F1_Score,Time_Steps,Num_Training_Sequences,Window_Size_Sec,Label_Threshold
0.9296077377753896,0.9280172284417073,10,14888,10,0.8
0.9151207115628971,0.9138424289162325,10,15736,10,0.6
0.904424778761062,0.9007030626844827,10,4516,30,0.8
0.8772763262074426,0.8706919367620101,10,5049,30,0.6
0.8576025744167337,0.8529659940258735,5,14916,10,0.8
0.8478452066842568,0.8427954790911468,5,4544,30,0.8
0.8313039066463724,0.824163103469626,5,15764,10,0.6
0.8291338582677166,0.8216853252986577,5,5077,30,0.6
