,Algorithm,Feature_Set,Accuracy,Precision,Recall,F1_Score,Best_Params,Features_Used,time
20,XGBoost,Seq: Raw Accel,0.7169,0.6804,0.7169,0.6957,"{'n_estimators': 131, 'max_depth': 9, 'learning_rate': 0.061539562296337835, 'subsample': 0.6363336824983623, 'colsample_bytree': 0.8702434715481564}","['x_g', 'y_g', 'z_g']",60
28,KNN,Seq: Raw Accel + ODBA,0.7071,0.6825,0.7071,0.6931,"{'n_neighbors': 6, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba']",60
0,XGBoost,Indiv: Raw Accel,0.7179,0.6688,0.7179,0.6889,"{'n_estimators': 195, 'max_depth': 8, 'learning_rate': 0.011386347195028202, 'subsample': 0.5879475044064537, 'colsample_bytree': 0.9511938397442073}","['x_g', 'y_g', 'z_g']",60
2,SVM (RBF),Indiv: Raw Accel,0.715,0.6662,0.715,0.6858,"{'C': 89.21880336870666, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g']",60
22,SVM (RBF),Seq: Raw Accel,0.714,0.6652,0.714,0.6847,"{'C': 79.42530854401907, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g']",60
39,LogisticReg,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.6964,0.6735,0.6964,0.6783,{'C': 0.6850674642033638},"['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",60
29,LogisticReg,Seq: Raw Accel + ODBA,0.7042,0.6541,0.7042,0.6727,{'C': 6.386584329833674},"['x_g', 'y_g', 'z_g', 'odba']",60
24,LogisticReg,Seq: Raw Accel,0.7032,0.6517,0.7032,0.6714,{'C': 78.5585402307524},"['x_g', 'y_g', 'z_g']",60
4,LogisticReg,Indiv: Raw Accel,0.7032,0.6517,0.7032,0.6714,{'C': 95.05346925372824},"['x_g', 'y_g', 'z_g']",60
34,LogisticReg,Seq: Raw Accel + ODBA + VeDBA,0.7003,0.6502,0.7003,0.669,{'C': 3.762303021280635},"['x_g', 'y_g', 'z_g', 'odba', 'vedba']",60
16,RandomForest,Indiv: Magnitude,0.5034,0.4834,0.5034,0.4715,"{'n_estimators': 78, 'max_depth': 5, 'min_samples_split': 7}",['mag'],60
15,XGBoost,Indiv: Magnitude,0.4789,0.4517,0.4789,0.4556,"{'n_estimators': 178, 'max_depth': 8, 'learning_rate': 0.016381720499349148, 'subsample': 0.5941051516121436, 'colsample_bytree': 0.8524981794788831}",['mag'],60
18,KNN,Indiv: Magnitude,0.4564,0.4282,0.4564,0.4368,"{'n_neighbors': 11, 'weights': 'uniform', 'p': 2}",['mag'],60
17,SVM (RBF),Indiv: Magnitude,0.4858,0.3738,0.4858,0.4152,"{'C': 9.85703415754716, 'gamma': 'auto'}",['mag'],60
19,LogisticReg,Indiv: Magnitude,0.4623,0.3963,0.4623,0.4048,{'C': 7.272058626209138},['mag'],60
8,KNN,Indiv: ODBA,0.379,0.3459,0.379,0.3507,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 2}",['odba'],60
14,LogisticReg,Indiv: VeDBA,0.4329,0.3265,0.4329,0.3504,{'C': 0.356289336412005},['vedba'],60
10,XGBoost,Indiv: VeDBA,0.4104,0.3598,0.4104,0.3473,"{'n_estimators': 81, 'max_depth': 4, 'learning_rate': 0.012559556706643094, 'subsample': 0.9128581136731879, 'colsample_bytree': 0.5103912161921533}",['vedba'],60
9,LogisticReg,Indiv: ODBA,0.43,0.3246,0.43,0.3471,{'C': 7.213269612216578},['odba'],60
11,RandomForest,Indiv: VeDBA,0.3879,0.3381,0.3879,0.3414,"{'n_estimators': 61, 'max_depth': 8, 'min_samples_split': 8}",['vedba'],60
5,XGBoost,Indiv: ODBA,0.3643,0.3234,0.3643,0.3358,"{'n_estimators': 184, 'max_depth': 8, 'learning_rate': 0.026756979707914384, 'subsample': 0.6975663324093514, 'colsample_bytree': 0.5453161572507162}",['odba'],60
13,KNN,Indiv: VeDBA,0.3643,0.3237,0.3643,0.3357,"{'n_neighbors': 17, 'weights': 'uniform', 'p': 1}",['vedba'],60
7,SVM (RBF),Indiv: ODBA,0.4202,0.3322,0.4202,0.323,"{'C': 0.40199224724897936, 'gamma': 'auto'}",['odba'],60
12,SVM (RBF),Indiv: VeDBA,0.4221,0.3388,0.4221,0.3224,"{'C': 48.39470564729345, 'gamma': 'scale'}",['vedba'],60
6,RandomForest,Indiv: ODBA,0.3457,0.3129,0.3457,0.3218,"{'n_estimators': 158, 'max_depth': 16, 'min_samples_split': 7}",['odba'],60
35,XGBoost,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.769,0.7663,0.769,0.7591,"{'n_estimators': 298, 'max_depth': 6, 'learning_rate': 0.05573715287330689, 'subsample': 0.8624002776968867, 'colsample_bytree': 0.9422595653665259}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",90
37,SVM (RBF),Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7734,0.7616,0.7734,0.759,"{'C': 78.64419437452767, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",90
36,RandomForest,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7675,0.7458,0.7675,0.7526,"{'n_estimators': 131, 'max_depth': 16, 'min_samples_split': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",90
38,KNN,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7646,0.779,0.7646,0.7425,"{'n_neighbors': 19, 'weights': 'distance', 'p': 1}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",90
26,RandomForest,Seq: Raw Accel + ODBA,0.7588,0.7536,0.7588,0.7419,"{'n_estimators': 280, 'max_depth': 8, 'min_samples_split': 2}","['x_g', 'y_g', 'z_g', 'odba']",90
31,RandomForest,Seq: Raw Accel + ODBA + VeDBA,0.7573,0.7461,0.7573,0.7388,"{'n_estimators': 269, 'max_depth': 19, 'min_samples_split': 7}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",90
23,KNN,Seq: Raw Accel,0.7442,0.7301,0.7442,0.7297,"{'n_neighbors': 7, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g']",90
32,SVM (RBF),Seq: Raw Accel + ODBA + VeDBA,0.7529,0.7095,0.7529,0.7285,"{'C': 8.935546804583181, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",90
3,KNN,Indiv: Raw Accel,0.7485,0.7343,0.7485,0.7273,"{'n_neighbors': 19, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g']",90
28,KNN,Seq: Raw Accel + ODBA,0.7471,0.7022,0.7471,0.7237,"{'n_neighbors': 17, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba']",90
27,SVM (RBF),Seq: Raw Accel + ODBA,0.7471,0.7042,0.7471,0.723,"{'C': 11.386125108472744, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g', 'odba']",90
2,SVM (RBF),Indiv: Raw Accel,0.7442,0.701,0.7442,0.7194,"{'C': 9.387310844537865, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g']",90
33,KNN,Seq: Raw Accel + ODBA + VeDBA,0.7398,0.7163,0.7398,0.7192,"{'n_neighbors': 14, 'weights': 'distance', 'p': 1}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",90
22,SVM (RBF),Seq: Raw Accel,0.7398,0.6969,0.7398,0.7153,"{'C': 15.994216242933932, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g']",90
1,RandomForest,Indiv: Raw Accel,0.7281,0.7063,0.7281,0.7124,"{'n_estimators': 289, 'max_depth': 25, 'min_samples_split': 3}","['x_g', 'y_g', 'z_g']",90
25,XGBoost,Seq: Raw Accel + ODBA,0.7339,0.6944,0.7339,0.7121,"{'n_estimators': 99, 'max_depth': 8, 'learning_rate': 0.026043725482685246, 'subsample': 0.5101539229627661, 'colsample_bytree': 0.776996645543031}","['x_g', 'y_g', 'z_g', 'odba']",90
21,RandomForest,Seq: Raw Accel,0.7237,0.7116,0.7237,0.7092,"{'n_estimators': 168, 'max_depth': 16, 'min_samples_split': 5}","['x_g', 'y_g', 'z_g']",90
30,XGBoost,Seq: Raw Accel + ODBA + VeDBA,0.7281,0.7021,0.7281,0.7079,"{'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.028221063943496084, 'subsample': 0.8839223910944604, 'colsample_bytree': 0.7014375442081255}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",90
0,XGBoost,Indiv: Raw Accel,0.7208,0.7005,0.7208,0.7069,"{'n_estimators': 296, 'max_depth': 5, 'learning_rate': 0.054014385410629945, 'subsample': 0.8845950887457785, 'colsample_bytree': 0.7627732342562131}","['x_g', 'y_g', 'z_g']",90
20,XGBoost,Seq: Raw Accel,0.7076,0.6925,0.7076,0.6968,"{'n_estimators': 292, 'max_depth': 3, 'learning_rate': 0.16106269847748275, 'subsample': 0.614381548621132, 'colsample_bytree': 0.7134881004177527}","['x_g', 'y_g', 'z_g']",90
39,LogisticReg,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.6959,0.6814,0.6959,0.6756,{'C': 19.40402858570251},"['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",90
24,LogisticReg,Seq: Raw Accel,0.7003,0.653,0.7003,0.672,{'C': 23.201435778386703},"['x_g', 'y_g', 'z_g']",90
4,LogisticReg,Indiv: Raw Accel,0.7003,0.653,0.7003,0.672,{'C': 40.34106808207375},"['x_g', 'y_g', 'z_g']",90
29,LogisticReg,Seq: Raw Accel + ODBA,0.6988,0.6528,0.6988,0.671,{'C': 95.50019823133208},"['x_g', 'y_g', 'z_g', 'odba']",90
34,LogisticReg,Seq: Raw Accel + ODBA + VeDBA,0.6959,0.6491,0.6959,0.6674,{'C': 73.17856256911145},"['x_g', 'y_g', 'z_g', 'odba', 'vedba']",90
15,XGBoost,Indiv: Magnitude,0.519,0.5256,0.519,0.4774,"{'n_estimators': 233, 'max_depth': 4, 'learning_rate': 0.010531606223807083, 'subsample': 0.5826004423374709, 'colsample_bytree': 0.8370170343072365}",['mag'],90
16,RandomForest,Indiv: Magnitude,0.5088,0.5138,0.5088,0.4684,"{'n_estimators': 176, 'max_depth': 5, 'min_samples_split': 7}",['mag'],90
18,KNN,Indiv: Magnitude,0.4795,0.4465,0.4795,0.4563,"{'n_neighbors': 19, 'weights': 'uniform', 'p': 1}",['mag'],90
17,SVM (RBF),Indiv: Magnitude,0.481,0.3606,0.481,0.4071,"{'C': 12.865673619661429, 'gamma': 'scale'}",['mag'],90
19,LogisticReg,Indiv: Magnitude,0.4591,0.3758,0.4591,0.3989,{'C': 1.8034661575561706},['mag'],90
8,KNN,Indiv: ODBA,0.402,0.3666,0.402,0.3775,"{'n_neighbors': 15, 'weights': 'uniform', 'p': 1}",['odba'],90
13,KNN,Indiv: VeDBA,0.3977,0.3668,0.3977,0.3683,"{'n_neighbors': 18, 'weights': 'uniform', 'p': 1}",['vedba'],90
5,XGBoost,Indiv: ODBA,0.3845,0.3542,0.3845,0.3648,"{'n_estimators': 208, 'max_depth': 10, 'learning_rate': 0.02079498927025155, 'subsample': 0.5269659870328911, 'colsample_bytree': 0.9100257391676447}",['odba'],90
11,RandomForest,Indiv: VeDBA,0.3933,0.3532,0.3933,0.3605,"{'n_estimators': 66, 'max_depth': 9, 'min_samples_split': 9}",['vedba'],90
10,XGBoost,Indiv: VeDBA,0.405,0.3509,0.405,0.3566,"{'n_estimators': 132, 'max_depth': 3, 'learning_rate': 0.06219329665820232, 'subsample': 0.6427093447332883, 'colsample_bytree': 0.6315423684699535}",['vedba'],90
6,RandomForest,Indiv: ODBA,0.3962,0.361,0.3962,0.3556,"{'n_estimators': 288, 'max_depth': 7, 'min_samples_split': 6}",['odba'],90
14,LogisticReg,Indiv: VeDBA,0.4079,0.3018,0.4079,0.3374,{'C': 0.5412591078932839},['vedba'],90
12,SVM (RBF),Indiv: VeDBA,0.424,0.3251,0.424,0.337,"{'C': 1.1410083142001106, 'gamma': 'auto'}",['vedba'],90
9,LogisticReg,Indiv: ODBA,0.4064,0.301,0.4064,0.3364,{'C': 3.688768597328401},['odba'],90
7,SVM (RBF),Indiv: ODBA,0.424,0.326,0.424,0.3354,"{'C': 0.24572770386139672, 'gamma': 'scale'}",['odba'],90
