trial_number,model_family,model_type,feature_set,window,thresh,steps,rf_n_estimators,rf_max_depth,xgb_n_estimators,xgb_lr,xgb_max_depth,svm_C,svm_kernel,nb_var_smoothing,ts_hidden_dim,ts_lr,ts_batch_size,avg_accuracy,avg_precision,avg_recall,avg_f1_macro,pooled_test_distribution
31,Classical,XGBoost,base_plus_enmo,30,0.7,,,,300,0.2985063389526182,10,,,,,,,0.905,0.8445,0.7935,0.799,"{np.int64(1): 3706, np.int64(2): 349, np.int64(0): 2027}"
32,Classical,XGBoost,base_plus_enmo,30,0.7,,,,300,0.2014978658419224,10,,,,,,,0.9065,0.8512,0.7958,0.8026,"{np.int64(1): 3706, np.int64(2): 349, np.int64(0): 2027}"
33,Classical,XGBoost,base_plus_enmo,30,0.7,,,,250,0.05320394336894835,8,,,,,,,0.9076,0.8528,0.7966,0.8026,"{np.int64(1): 3706, np.int64(2): 349, np.int64(0): 2027}"
34,Classical,XGBoost,base_plus_enmo,30,0.7,,,,200,0.03553026472220691,7,,,,,,,0.9077,0.8492,0.7908,0.7991,"{np.int64(1): 3706, np.int64(2): 349, np.int64(0): 2027}"
35,Classical,XGBoost,base_plus_enmo,25,0.75,,,,200,0.0404619019598454,8,,,,,,,0.9058,0.8559,0.7889,0.8041,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
36,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,58.734474068336155,rbf,,,,,0.9122,0.8619,0.8118,0.8202,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
37,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,35.294032415944855,rbf,,,,,0.9129,0.8696,0.8145,0.8254,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
38,Classical,SVM,base_plus_enmo,25,0.8,,,,,,,64.77326687425278,rbf,,,,,0.914,0.87,0.8038,0.814,"{np.int64(1): 4293, np.int64(2): 370, np.int64(0): 2314}"
39,TimeSeries,Transformer,base_plus_enmo,25,0.8,5,,,,,,,,,128,0.0013793050573771414,16,0.8851,0.7421,0.6839,0.6937,"{np.int64(1): 4265, np.int64(2): 368, np.int64(0): 2309}"
40,TimeSeries,Transformer,base_plus_enmo,25,0.8,5,,,,,,,,,128,0.002261270390276829,16,0.884,0.7729,0.659,0.6705,"{np.int64(1): 4265, np.int64(2): 368, np.int64(0): 2309}"
41,Classical,SVM,base_plus_enmo,25,0.8,,,,,,,99.84913169907377,rbf,,,,,0.9145,0.8599,0.804,0.8126,"{np.int64(1): 4293, np.int64(2): 370, np.int64(0): 2314}"
42,Classical,SVM,base_plus_enmo,25,0.8,,,,,,,77.94052983258598,rbf,,,,,0.914,0.8643,0.8021,0.8115,"{np.int64(1): 4293, np.int64(2): 370, np.int64(0): 2314}"
43,Classical,SVM,base_plus_enmo,25,0.8,,,,,,,96.5463127781099,rbf,,,,,0.914,0.8587,0.8025,0.8106,"{np.int64(1): 4293, np.int64(2): 370, np.int64(0): 2314}"
44,Classical,SVM,base_plus_enmo,25,0.8,,,,,,,79.37332579311857,rbf,,,,,0.914,0.8625,0.8021,0.8108,"{np.int64(1): 4293, np.int64(2): 370, np.int64(0): 2314}"
45,Classical,SVM,base_plus_enmo,25,0.8,,,,,,,78.38311326168004,rbf,,,,,0.914,0.8643,0.8021,0.8115,"{np.int64(1): 4293, np.int64(2): 370, np.int64(0): 2314}"
46,TimeSeries,BiLSTM,base_plus_enmo,25,0.75,15,,,,,,,,,128,0.00983271334864012,32,0.8777,0.76,0.6655,0.6761,"{np.int64(1): 4302, np.int64(0): 2386, np.int64(2): 396}"
47,Classical,SVM,base_plus_enmo,25,0.8,,,,,,,56.99392605619644,rbf,,,,,0.9152,0.8709,0.8068,0.8156,"{np.int64(1): 4293, np.int64(2): 370, np.int64(0): 2314}"
48,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,13.32458154200029,rbf,,,,,0.9154,0.8913,0.8171,0.8344,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
49,TimeSeries,Transformer,base_plus_enmo,25,0.75,10,,,,,,,,,32,0.0006470936095367039,16,0.8823,0.7659,0.6827,0.6938,"{np.int64(1): 4325, np.int64(2): 404, np.int64(0): 2390}"
50,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,3.0905660434793356,rbf,,,,,0.9076,0.8841,0.7992,0.8179,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
51,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,3.4498386603101165,rbf,,,,,0.9079,0.8839,0.7994,0.8182,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
52,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,2.481663526047702,rbf,,,,,0.9066,0.8842,0.7981,0.8172,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
53,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,2.5711214125509967,rbf,,,,,0.9069,0.8853,0.7986,0.8178,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
54,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,3.002159318728904,rbf,,,,,0.9072,0.8837,0.7986,0.8172,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
55,Classical,SVM,base_plus_enmo,15,0.75,,,,,,,3.3724704257677174,rbf,,,,,0.897,0.8631,0.7683,0.7846,"{np.int64(1): 7339, np.int64(2): 809, np.int64(0): 4054}"
56,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,6.923196344881807,rbf,,,,,0.9094,0.8812,0.8031,0.821,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
57,Classical,SVM,base_features,20,0.75,,,,,,,12.637230147832335,linear,,,,,0.8716,0.7715,0.6722,0.6728,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
58,Classical,SVM,base_plus_enmo,15,0.75,,,,,,,9.63069322670658,rbf,,,,,0.8974,0.8543,0.766,0.7804,"{np.int64(1): 7339, np.int64(2): 809, np.int64(0): 4054}"
59,Classical,NB,base_plus_enmo,20,0.75,,,,,,,,,1.0634008522635951e-10,,,,0.8481,0.7084,0.7776,0.7197,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
60,TimeSeries,BiLSTM,base_plus_enmo,20,0.75,5,,,,,,,,,128,0.0001606175991726413,32,0.8737,0.79,0.6572,0.6661,"{np.int64(1): 5481, np.int64(2): 562, np.int64(0): 3008}"
61,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,0.5723245577535536,rbf,,,,,0.9039,0.8901,0.7765,0.8002,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
62,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,12.301288209340914,rbf,,,,,0.9095,0.8774,0.8016,0.8182,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
63,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,12.94495587017477,rbf,,,,,0.9092,0.8766,0.8,0.8166,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
64,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,13.442676158287034,rbf,,,,,0.9085,0.8747,0.7991,0.8152,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
65,Classical,SVM,base_features,20,0.75,,,,,,,18.963733597721184,rbf,,,,,0.8832,0.773,0.7195,0.7267,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
66,Classical,SVM,base_plus_enmo,15,0.75,,,,,,,5.898523978940315,rbf,,,,,0.8974,0.861,0.7673,0.7828,"{np.int64(1): 7339, np.int64(2): 809, np.int64(0): 4054}"
67,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,23.381696571418555,rbf,,,,,0.9072,0.8739,0.7969,0.8137,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
68,Classical,NB,base_plus_enmo,20,0.75,,,,,,,,,1.9011538787332412e-10,,,,0.8481,0.7084,0.7776,0.7197,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
69,Classical,SVM,base_plus_enmo,20,0.6,,,,,,,0.7541000902827841,rbf,,,,,0.8915,0.8661,0.7591,0.7814,"{np.int64(1): 5740, np.int64(2): 718, np.int64(0): 3224}"
70,Classical,SVM,base_plus_enmo,15,0.75,,,,,,,0.09199936472414788,linear,,,,,0.8932,0.8545,0.7756,0.7953,"{np.int64(1): 7339, np.int64(2): 809, np.int64(0): 4054}"
71,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,2.0531532161023676,rbf,,,,,0.9069,0.882,0.7971,0.8158,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
72,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,5.171952294195223,rbf,,,,,0.9085,0.8817,0.8012,0.8198,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
73,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,23.060416006971195,rbf,,,,,0.9072,0.8736,0.7963,0.8133,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
74,Classical,SVM,base_plus_enmo,20,0.75,,,,,,,5.177577197865967,rbf,,,,,0.9085,0.8817,0.8012,0.8198,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
75,Classical,SVM,base_features,20,0.75,,,,,,,30.487824773376314,rbf,,,,,0.8816,0.7783,0.7194,0.7263,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
76,Classical,SVM,base_plus_enmo,10,0.75,,,,,,,6.7871551256322205,linear,,,,,0.8795,0.8353,0.7586,0.7796,"{np.int64(1): 11204, np.int64(2): 1427, np.int64(0): 6246}"
77,Classical,NB,base_plus_enmo,20,0.75,,,,,,,,,3.1085324485002884e-10,,,,0.8481,0.7084,0.7776,0.7197,"{np.int64(1): 5507, np.int64(2): 565, np.int64(0): 3014}"
78,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,6.129029541404576,rbf,,,,,0.9161,0.8981,0.8151,0.8333,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
79,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,0.08069325756390573,rbf,,,,,0.9006,0.8982,0.7376,0.7677,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
80,TimeSeries,LSTM,base_plus_enmo,25,0.7,20,,,,,,,,,32,0.0005878343401328915,32,0.8693,0.6519,0.6253,0.6162,"{np.int64(2): 417, np.int64(0): 2428, np.int64(1): 4348}"
81,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,6.35197728775305,rbf,,,,,0.9162,0.8987,0.8153,0.8337,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
82,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,36.69599392289069,rbf,,,,,0.9127,0.8682,0.8145,0.8247,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
83,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,32.4906906416491,rbf,,,,,0.9126,0.8697,0.8146,0.8264,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
84,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,41.87383760026922,rbf,,,,,0.9127,0.8649,0.8144,0.8231,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
85,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,36.483827203877276,rbf,,,,,0.9128,0.869,0.8146,0.8251,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
86,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,40.1742959435679,rbf,,,,,0.9124,0.8653,0.8141,0.8232,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
87,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,38.76425972157183,rbf,,,,,0.9127,0.8656,0.8143,0.8234,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
88,Classical,RF,base_plus_enmo,25,0.8,,50,3,,,,,,,,,,0.8918,0.7215,0.6303,0.624,"{np.int64(1): 4293, np.int64(2): 370, np.int64(0): 2314}"
89,Classical,SVM,base_features,25,0.75,,,,,,,38.31227049545281,rbf,,,,,0.8897,0.7751,0.741,0.743,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
90,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,47.365612057703196,rbf,,,,,0.9127,0.8635,0.8144,0.8227,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
91,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,35.613944016944366,rbf,,,,,0.913,0.8697,0.8146,0.8255,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
92,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,27.08415377280837,rbf,,,,,0.9123,0.8733,0.8134,0.8273,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
93,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,22.68630191675562,rbf,,,,,0.9125,0.8766,0.8127,0.827,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
94,Classical,SVM,base_plus_enmo,25,0.75,,,,,,,19.331795101062646,rbf,,,,,0.9129,0.8814,0.8136,0.8289,"{np.int64(1): 4382, np.int64(2): 407, np.int64(0): 2400}"
