Model,Accuracy,f1_macro
RNN,0.792128391287734,0.6980886223915732
RNN,0.7154285714285714,0.6198784927301599
RNN,0.7425237053245806,0.6236511116281894
RNN,0.7792304818827045,0.6440509890718412
RNN,0.8441461595824012,0.7167236079091732
RNN,0.7598513011152417,0.6457455752038925
RNN,0.7838125665601704,0.6094030417037009
LSTM,0.8093236530378296,0.7091218395640502
LSTM,0.7116190476190476,0.5832293545835945
LSTM,0.7301239970824216,0.5467295370717802
LSTM,0.7553231228987672,0.6556247471762165
LSTM,0.8240119313944817,0.69074419270054
LSTM,0.7501858736059479,0.5848934161881306
LSTM,0.802626908058218,0.5981927611859806
BiLSTM,0.8261367978601452,0.7331582805306172
BiLSTM,0.7276190476190476,0.6102803165605023
BiLSTM,0.7180889861415025,0.6048861458688994
BiLSTM,0.7515875980575271,0.6468533846013744
BiLSTM,0.8448918717375093,0.7193921112942575
BiLSTM,0.741635687732342,0.5843591596191924
BiLSTM,0.8012069577564785,0.6059457159036229
GatedConvNet,0.7841039358043561,0.684079068690327
GatedConvNet,0.7123809523809523,0.5693644140604067
GatedConvNet,0.7370532458059811,0.5664674612379728
GatedConvNet,0.7060141949943967,0.6139516455408253
GatedConvNet,0.8240119313944817,0.7009785752574414
GatedConvNet,0.7215613382899628,0.5466976515369472
GatedConvNet,0.8054668086616968,0.6040203648904879
Transformer,0.7665265571264807,0.6621118640004532
Transformer,0.7196190476190476,0.5827185296563564
Transformer,0.7293946024799417,0.6021035959851465
Transformer,0.748972730668659,0.6621119254215946
Transformer,0.8027591349739001,0.6802569051507025
Transformer,0.795910780669145,0.5933701699392581
Transformer,0.8019169329073482,0.5882923933113784
